deal_id	has_MR	prom_length	price	discount_pct	coupon_duration	featured	limited_supply	revenue	ps	ps_logit	revenue_scaled	ps_quintile	log_revenue
dc-ghd-long-live-paintball	0	6	25	58	117	0	1	9500	0.15793226263448365	-1.673694235586043	-0.06306788556802725	1	9.159047077588632
dc-ghd-paint-for-fun	0	6	25	50	185	0	1	250	0.20248216550411446	-1.3708523863297524	-0.5735931524399799	1	5.521460917862246
dc-gmt-celebrity-planet-cupcake	0	7	25	50	185	0	0	3250	0.20872278392919472	-1.3326413903207293	-0.40801739021123845	2	8.086410275323782
dc-j41-gl-shop-class	0	7	12	40	33	0	1	2400	0.11474515655834681	-2.0431619228389297	-0.4549305228427152	1	7.783224016336037
dc-out-boating-in-boston	0	7	249	38	31	0	1	14940	0.016771216673637086	-4.071177709164253	0.2371761632734238	1	9.611797458686809
dc-out-cpx-sports-paintball	0	7	30	67	185	0	0	20700	0.18085960388621897	-1.51053443184608	0.5550816267526073	1	9.93788897925346
dc-out-fun-station	0	7	10	50	122	0	0	1100	0.1938043944775636	-1.4254770252929543	-0.5266800198085031	1	7.003065458786462
dc-val-david-anthony-art	0	6	105	65	184	0	1	4200	0.10147293754510896	-2.1809646876039825	-0.35558506550547037	1	8.34283980427146
dc-val-pickwick-theatre	0	8	15	46	73	0	0	6600	0.1259162211378328	-1.9375594536880463	-0.22312445572247727	1	8.794824928014517
dennis-pasamba-dance-company	0	3	21	50	93	0	1	2940	0.3373454625339043	-0.6751462780972345	-0.4251268856415418	4	7.986164860332727
depaul-university-soccer-camps	0	3	99	51	3	0	1	1980	0.1583942898162994	-1.670224197283505	-0.478111129554739	1	7.590852123688581
doug-foleys-drag-chicago	0	3	74	50	30	0	1	3700	0.20547920088588484	-1.3523943479266534	-0.38318102587692726	2	8.216088098632316
essex-river-cruises-and-charters	0	5	14	50	135	0	1	14000	0.24528443991255064	-1.12392242029365	0.18529575777508484	2	9.546812608597396
facets-cinematheque	0	4	16	50	183	0	1	7040	0.3443939894763691	-0.6437736945593826	-0.1988400105955952	4	8.859363449152088
facets-cinematheque-chicago	0	2	14	56	189	0	1	7140	0.5009210677592818	0.0036842752046151585	-0.1933208185213038	5	8.87346805533363
family-fun-zone	0	3	35	53	189	0	1	4200	0.381928391157643	-0.48137118932657946	-0.35558506550547037	4	8.34283980427146
fiamma-art-glass	0	5	50	49	82	0	1	7500	0.16632050016430538	-1.6119323849502747	-0.17345172705385484	1	8.922658299524402
fine-jewelry-school	0	3	49	61	372	0	1	4900	0.494737064717951	-0.021052518648409384	-0.3169507209854307	5	8.496990484098719
firezone-1	0	4	9	50	332	0	0	4050	0.5762600099185275	0.30743892876232176	-0.36386385361690743	5	8.306472160100585
flyers-boat-rentals	0	5	15	50	33	0	1	1200	0.1836905801969809	-1.4915407613055227	-0.5211608277342118	1	7.090076835776092
fox-paintball-4	0	4	30	68	189	0	1	3600	0.29197051015368414	-0.8858329406077767	-0.3887002179512187	3	8.1886891244442
fun-flatables-1	0	3	19	58	186	0	1	11210	0.40272956532958964	-0.3941047173049601	0.031310298902355344	5	9.324561516066206
fun-station-3	0	3	10	47	127	0	1	2900	0.39242633025465956	-0.43712460894585614	-0.4273345624712583	5	7.9724660159745655
funflatables-chicago	0	3	19	58	124	0	0	18810	0.4388725076409838	-0.24573918331017647	0.4507688965485002	5	9.842143922295076
funtown-splashtown-usa-1	0	5	25	50	82	0	1	25000	0.19702207679728648	-1.4050114332505603	0.7924068859471366	1	10.126631103850338
funway-foxboro	0	4	25	55	87	0	1	17250	0.24998164506636059	-1.0987101840434157	0.3646695001895547	2	9.755567422459507
funway-ultimate-entertainment-center-1	0	3	25	55	124	0	1	19250	0.34522593823045145	-0.640091136161308	0.47505334167538227	4	9.86526633971593
funway-ultimate-entertainment-center-2	0	3	25	55	129	0	1	9500	0.34921491583612235	-0.6224919184897755	-0.06306788556802725	4	9.159047077588632
gameworks-chicago-2	0	4	20	56	187	0	1	100000	0.3292253232067767	-0.7116908891651635	4.931800941665671	4	11.512925464970229
get-real-ny-2	0	2	36	60	2	1	1	10440	0.3617928794049868	-0.5675909793494867	-0.011187480069688283	4	9.25339986143663
ghosts-new-york	0	3	10	60	185	0	0	10000	0.5076111257089503	0.030446854665112672	-0.03547192519657035	5	9.210340371976184
gl-20th-century-progression	0	3	50	50	424	0	1	200	0.5598829961113823	0.24068721689266268	-0.5763527484771256	5	5.298317366548036
gl-4th-july-rooftop-beach-party	0	6	29	53	3	0	1	29000	0.11208178654544482	-2.069650794970258	1.0131745689187919	1	10.275051108968611
gl-702-punchlines-and-pregnant	0	3	30	55	13	0	1	30	0.2546876934377817	-1.073765271032363	-0.5857353750034209	2	3.4011973816621555
gl-a-far-cry-chamber-orchestra	0	5	24	56	7	0	1	960	0.1534200884324265	-1.7080247645035294	-0.5344068887125111	1	6.866933284461882
gl-above-and-beyond	0	3	20	46	14	0	1	11800	0.28641221643817744	-0.9128733723331225	0.06387353214067448	3	9.375854810453756
gl-acousticaelectronia-touch	0	3	12	48	9	0	1	360	0.293677167579256	-0.87759130813467	-0.5675220411582593	3	5.886104031450156
gl-ajkun-ballet-theatre	0	3	16	48	17	0	1	2240	0.2923889251632869	-0.8838097619106405	-0.46376123016158144	3	7.7142311448490855
gl-ajkun-ballet-theatre-1	0	3	21	49	33	1	1	630	0.36108824150838603	-0.5706439869399245	-0.5526202225576726	4	6.4457198193855785
gl-american-chamber-opera-company	0	3	20	67	5	0	1	200	0.2476435598497862	-1.1112197475659258	-0.5763527484771256	2	5.298317366548036
gl-american-chamber-opera-company-1	0	4	20	56	12	0	1	1400	0.20954611107639526	-1.3276635076688081	-0.510122443585629	2	7.24422751560335
gl-animus-theatre-company	0	3	10	50	13	0	1	800	0.2968806475817377	-0.862196455203094	-0.5432375960313773	3	6.684611727667927
gl-at-arie-crown-theater	0	2	36	51	5	1	1	20160	0.3809300759330211	-0.4856023987076904	0.5252779895514338	4	9.911455722185305
gl-at-arie-crown-theater-1	0	3	52	50	8	0	1	14560	0.22430436917941565	-1.2407562944040698	0.21620323339111655	2	9.586033321750676
gl-at-barclays-center-sports	0	3	25	58	76	1	1	22500	0.3716611667897275	-0.5250969670540431	0.6544270840898521	4	10.021270588192511
gl-at-big-time-rush-17	0	3	15	40	50	0	1	9150	0.33279556052052955	-0.6955681358424737	-0.08238505782804707	4	9.121509158269568
gl-at-carnival-of-madness-boston	0	3	20	62	7	1	1	3000	0.3193542671472586	-0.756740912819888	-0.4218153703969669	3	8.006367567650246
gl-at-chicago-fire-2	0	3	25	57	9	0	1	25000	0.2571668683479538	-1.0607462648374217	0.7924068859471366	2	10.126631103850338
gl-at-comcast-center	0	3	24	49	65	1	1	6000	0.3813571250333129	-0.4837918953799324	-0.25623960816822555	4	8.699514748210191
